,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PDCD2,-0.05224188,1.2308366,-0.039423823,-0.09064587,-0.071100846,1.1329422,-0.0018418848,6.5687656,-0.015555831,4.015158,-0.02323643,-0.06186418,-0.043946803,3.5868506,-0.018922988,6.9412045
MBTD1,-0.054023027,0.39322895,-0.036999993,-0.07461119,-0.05548725,1.5564111,0.20591357,5.106934,-0.009796728,2.8846793,-0.017941324,-0.05010813,-0.048649073,2.834105,-0.013688869,6.2964787
SMAD2,-0.06402635,2.1230767,-0.04791465,-0.111799106,-0.09338132,1.8790766,0.103821,8.299997,-0.018515766,5.1297517,-0.029249469,-0.07265157,-0.052912306,4.111366,-0.024758656,8.160383
ARID3B,-0.054472778,1.3383201,-0.04139967,-0.09471394,-0.07426112,1.2154837,-0.0016540801,6.895839,-0.01612524,4.173406,-0.024460979,-0.06459534,-0.04584097,3.722194,-0.019483877,7.239631
HOMER1,-0.055359043,1.3992107,-0.042221885,-0.09633724,-0.07549829,1.24204,-0.0017437708,7.027228,-0.015740931,4.269173,-0.024957027,-0.06582391,-0.046693824,3.7536721,-0.020173015,7.3060446
GYPE,-0.05381288,1.2990226,-0.04106711,-0.09359456,-0.07314711,1.2202009,-0.0017946886,6.7899194,-0.015935836,4.117629,-0.024089407,-0.06395681,-0.04516667,3.6672802,-0.01891629,7.1487794
ZBTB2,-0.089369036,3.8244805,-0.071787305,-0.15758099,-0.13621178,3.0578911,0.15914342,12.037596,-0.022478437,7.595512,-0.043111265,-0.102321416,-0.07419091,5.5275817,-0.036405288,10.854741
MRS2,-0.089369036,3.8244805,-0.071787305,-0.15758099,-0.13621178,3.0578911,0.15914342,12.037596,-0.022478437,7.595512,-0.043111265,-0.102321416,-0.07419091,5.5275817,-0.036405288,10.854741
ISCA1,-0.05442845,1.4434823,-0.045149826,-0.097540446,-0.07658448,1.5729585,-0.0011858571,7.0087147,-0.016014345,4.4030113,-0.027570903,-0.06734083,-0.047795422,3.7430384,-0.018404301,7.207147
AMN1,-0.06450643,1.8974086,-0.050423525,-0.11284577,-0.08930493,1.6445913,-0.001772438,8.263871,-0.017788084,5.0503826,-0.030073049,-0.07713588,-0.054878823,4.2942867,-0.02344829,8.335388
ITGA4,-0.05685956,1.6184148,-0.049487744,-0.1068292,-0.08624987,1.0965444,-0.0016489759,7.6716723,-0.021526782,4.9775996,-0.033167668,-0.07126006,-0.04785666,4.6254773,-0.018592214,8.474579
CYP1B1,-0.059517708,1.6101536,-0.045879185,-0.10376905,-0.08159251,1.4112953,-0.0019184178,7.5708003,-0.016702931,4.612,-0.02732738,-0.071012616,-0.050388157,4.0171847,-0.021664627,7.7684107
POLR2A,-0.05265109,1.2419121,-0.039920032,-0.0914726,-0.071495265,1.1583143,-0.0018114698,6.6380954,-0.015457915,4.0458665,-0.023482846,-0.06257334,-0.044413198,3.6126428,-0.0190163,6.9977603
