,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KRT8,-0.07678183,0.47922254,4.455543,-0.03932192,-0.051488042,5.8539705,-0.07010148,1.246932,-0.036900748,2.6984751,-0.059448604,-0.040136814,6.400359,-0.029381102,5.362879,7.8500404
APPBP2,-0.07491456,0.432284,4.422978,-0.03818157,-0.049818385,5.70528,-0.06840245,1.2396562,-0.03597485,2.6028469,-0.05775335,-0.03909962,6.2363877,-0.028526545,5.254387,7.6961236
GM24455,-0.10458818,0.8843312,0.4181027,-0.057746317,-0.08318537,7.8889875,-0.08013843,0.7670741,-0.0364336,5.203117,-0.0942216,-0.06579409,9.760095,-0.047892068,6.6993065,9.855251
GM26280,-0.10458818,0.8843312,0.4181027,-0.057746317,-0.08318537,7.8889875,-0.08013843,0.7670741,-0.0364336,5.203117,-0.0942216,-0.06579409,9.760095,-0.047892068,6.6993065,9.855251
SOX2,-0.065165974,0.43113634,1.6773602,-0.036077835,-0.049504235,5.0182853,-0.05514648,0.72208786,-0.023264766,3.0418658,-0.058406632,-0.04028883,5.9139166,-0.030920343,4.6180835,6.912257
GM37746,-0.10458818,0.8843312,0.4181027,-0.057746317,-0.08318537,7.8889875,-0.08013843,0.7670741,-0.0364336,5.203117,-0.0942216,-0.06579409,9.760095,-0.047892068,6.6993065,9.855251
LEFTY2,-0.07476484,0.4340715,4.4434204,-0.038161896,-0.04975707,5.705143,-0.068444185,1.2405679,-0.03594628,2.590937,-0.057632957,-0.038959727,6.2159214,-0.028405927,5.251156,7.6811924
SSBP4,-0.07446373,0.4308359,4.427422,-0.037972137,-0.049482774,5.676883,-0.06813025,1.2379225,-0.0358144,2.5775802,-0.057381425,-0.038787175,6.1868305,-0.028269231,5.227701,7.6492486
APBB1,-0.07481029,0.44354814,4.4286404,-0.03819768,-0.049842127,5.707102,-0.06854629,1.2372314,-0.035953283,2.6013095,-0.05774648,-0.038948767,6.226914,-0.028435351,5.25029,7.6841455
SEMA4C,-0.07247349,0.39814952,4.388325,-0.036813054,-0.047833312,5.522692,-0.066483885,1.2264433,-0.034865186,2.4824502,-0.055651296,-0.037610248,6.013164,-0.027310839,5.1058927,7.475102
QDPR,-0.07457239,0.42857692,4.427564,-0.037974503,-0.04950295,5.671825,-0.068053104,1.2365148,-0.03588254,2.5771685,-0.057409506,-0.038871456,6.192243,-0.028305935,5.2249207,7.6527905
CITED1,-0.07230546,0.39292714,4.4042563,-0.0368053,-0.047760077,5.5146937,-0.06630001,1.2267473,-0.034832604,2.473264,-0.055581443,-0.03767974,5.991569,-0.02733065,5.0994124,7.471781
SMAD4,-0.056324106,0.1364287,3.6875715,-0.028409174,-0.035907388,4.32947,-0.05198455,1.0616852,-0.026288671,1.8228087,-0.04230016,-0.029411605,4.586293,-0.021046426,4.10886,6.009372
IFITM1,-0.074903645,0.43347052,4.434259,-0.038205434,-0.04976848,5.7011266,-0.068400994,1.2407156,-0.036020387,2.5906942,-0.057701815,-0.039028924,6.2257075,-0.028486738,5.2516093,7.6842585
ELL2,-0.08952389,0.6251281,4.2213,-0.04778942,-0.06307654,6.9090643,-0.07964393,1.2926224,-0.041058622,3.489215,-0.072344474,-0.049497485,7.8057013,-0.036807824,6.272175,9.128219
GM45236,-0.10653635,0.76142585,0.48793414,-0.05404538,-0.0804442,7.1578846,-0.07512193,0.43784958,-0.039525952,5.2264314,-0.09727145,-0.06883261,9.121827,-0.051106796,6.3058476,9.378696
ELP2,-0.07794901,0.48708707,4.418813,-0.036344178,-0.047179755,5.732823,-0.06614272,1.6886387,-0.039068725,2.607099,-0.058386695,-0.033681333,6.1363797,-0.02843896,4.853984,7.70079
MAPK3,-0.06851828,0.6567643,4.3546934,-0.03331432,-0.047003224,5.9958844,-0.07207296,0.62613416,-0.033062287,2.1584105,-0.052312005,-0.032681882,5.5413904,-0.022185305,5.47319,6.888019
CSRP2,-0.06814447,0.16306229,3.4197521,-0.044695567,-0.053319767,5.623188,-0.061818786,0.6660531,-0.02828057,1.8335793,-0.06289926,-0.03100328,5.596236,-0.032050923,4.2179136,7.4472914
CCND1,-0.07347344,0.41784805,4.4080563,-0.037443966,-0.048639793,5.5967784,-0.067348376,1.2337095,-0.035366364,2.523995,-0.05652884,-0.038153306,6.1048293,-0.02779233,5.167362,7.565234
