,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A1BG,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
A2M-AS1,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
A4GALT,0.89314,0.11257104,-0.012822396,0.4090301,-0.00678016,-0.010942385,-0.0052355407,-0.0026740711,-0.0018461036,1.3514277,0.005109623,-0.012107376,0.78669906,0.9304854,0.75899094,0.90735066
AAAS,0.21362692,0.26883495,-0.0161652,0.60158896,-0.007601654,-0.016163997,0.08865915,0.48082876,0.09444275,1.7863411,0.34942847,-0.016690942,1.3942939,1.5580329,0.7693121,0.084382735
AACS,0.5357033,0.10885364,-0.01446478,0.49593243,-0.0064069163,-0.013661225,-0.0014209856,-0.0005247516,0.08305091,1.411829,0.25592265,-0.012393564,1.1037621,1.2952703,0.6884552,0.5533198
AAED1,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AAGAB,0.7721314,0.21151741,-0.0132584525,0.6233281,-0.00662198,-0.011588386,-0.00264351,-0.00030393657,-0.002433307,1.4060385,0.05670259,-0.012976127,0.9628843,1.0261887,0.91304946,0.5707406
AAK1,-0.0031734952,0.38451162,-0.01649736,0.5412835,-0.006826078,-0.017217724,0.4492275,0.9696378,0.2627353,1.7684214,0.58435655,-0.0166523,1.4980801,1.6701442,0.5862788,-0.004662349
AAMDC,0.21185613,0.31072062,-0.015932743,0.42682326,-0.008492857,-0.014893375,0.10095656,0.6088813,0.09907335,1.7831796,0.28024,-0.01721443,1.2482214,1.4718734,0.72284895,0.07681086
AAR2,-0.0006669675,0.44833413,-0.018100904,0.35767126,-0.009226877,-0.017145174,0.51538396,0.88545054,0.38967967,1.9431779,0.4281497,-0.01883698,1.473794,1.749359,0.630215,-0.0023609244
AARSD1,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AASDHPPT,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AATBC,0.47328696,0.24555431,-0.013040854,0.48871157,-0.007877343,-0.0127054285,-0.0009835843,0.22490548,0.04669656,1.3226936,0.11162848,-0.013939565,1.0044668,1.0768209,0.6405061,0.22425777
AATK,0.852523,0.15015326,-0.012869654,0.43527752,-0.0068109003,-0.010889769,-0.004711312,-0.0021495968,-0.0018295136,1.4024223,0.007463172,-0.012568442,0.8409778,0.9555242,0.80139667,0.84401995
ABALON,0.88418716,0.13232759,-0.012897356,0.38060293,-0.007041912,-0.010897247,-0.0049491846,-0.0025395178,-0.0016393629,1.3654623,-4.9279926e-05,-0.012404456,0.80182445,0.93081194,0.76595366,0.8940717
ABAT,-0.0011351611,0.35903388,-0.013643483,0.42026883,-0.009967203,-0.013874081,0.18380028,0.81673783,0.43438897,1.4100463,0.1039367,-0.014780124,1.2813606,1.1137552,0.54408544,-0.0029386154
ABCA1,0.099339016,0.2993781,-0.013565713,0.51911217,-0.0069319424,-0.015641535,0.20470433,0.4531486,0.2995222,1.5165355,0.35401002,-0.014182461,1.2720165,1.3023196,0.5100682,-0.0010380329
ABCA2,0.12238785,0.35257083,-0.016787136,0.45316544,-0.008891386,-0.016875073,0.33243096,0.6693498,0.27082446,1.8531325,0.3638507,-0.017856758,1.4169219,1.6127867,0.6711215,-0.0009649662
ABCA3,0.82359475,0.19842845,-0.0132115055,0.3866941,-0.0073076976,-0.01089123,-0.003984622,-0.001370199,-0.0014658126,1.419273,0.006398022,-0.0130552575,0.8473026,0.97495615,0.7847593,0.7870862
ABCA5,0.11453779,0.3430287,-0.015892483,0.35391024,-0.0083645955,-0.014925258,0.2057155,0.66918504,0.22073437,1.7887884,0.3073324,-0.017049994,1.2551488,1.4910657,0.6709798,0.015132122
